iter	RMSE
0	14.69887179
1	14.61475167
2	14.53731538
3	14.45045956
4	14.36625584
5	14.28620075
6	14.21075529
7	14.12312358
8	14.03745837
9	13.96349175
10	13.88411034
11	13.81201337
12	13.73799697
13	13.65374358
14	13.58783335
15	13.5132248
16	13.43452405
17	13.35256649
18	13.27974658
19	13.21119231
20	13.1469422
21	13.07294248
22	13.01008025
23	12.93651585
24	12.86441612
25	12.79552567
26	12.72358617
27	12.65943132
28	12.5960862
29	12.52413752
30	12.45919494
31	12.39059955
32	12.33117377
33	12.25967329
34	12.18612521
35	12.12693836
36	12.06313084
37	12.00059059
38	11.9406641
39	11.88442555
40	11.8139273
41	11.76247841
42	11.69361691
43	11.63048095
44	11.56746168
45	11.50556625
46	11.45642229
47	11.395045
48	11.33371829
49	11.27995409
50	11.21624315
51	11.16158546
52	11.11387173
53	11.06032283
54	11.00767497
55	10.94624999
56	10.89114268
57	10.84491501
58	10.79280513
59	10.74024915
60	10.68790829
61	10.6311161
62	10.58120695
63	10.52931652
64	10.48265479
65	10.43026763
66	10.37855067
67	10.32974578
68	10.27823896
69	10.22443928
70	10.17626422
71	10.13016606
72	10.08584568
73	10.03848975
74	9.991751848
75	9.949579203
76	9.912075407
77	9.872217422
78	9.831374164
79	9.780861081
80	9.739787036
81	9.696776058
82	9.65883159
83	9.616965091
84	9.57185345
85	9.530721506
