iter	Passed	Remaining
0	4	419
1	6	295
2	11	376
3	17	414
4	22	426
5	26	414
6	30	399
7	33	389
8	34	349
9	38	344
10	40	324
11	44	328
12	49	332
13	50	312
14	54	311
15	58	309
16	60	295
17	61	278
18	64	275
19	68	272
20	73	274
21	77	276
22	82	276
23	86	275
24	90	271
25	93	266
26	95	257
27	98	252
28	101	247
29	105	245
30	106	236
31	110	234
32	113	230
33	116	226
34	117	218
35	120	214
36	124	211
37	125	205
38	128	201
39	131	197
40	132	190
41	134	185
42	135	179
43	136	173
44	140	171
45	141	165
46	147	166
47	152	164
48	157	164
49	166	166
50	168	161
51	170	157
52	177	157
53	185	157
54	189	155
55	190	149
56	191	144
57	196	141
58	201	140
59	206	137
60	207	132
61	211	129
62	211	124
63	215	121
64	219	118
65	222	114
66	225	111
67	229	108
68	235	105
69	236	101
70	240	98
71	244	95
72	248	91
73	252	88
74	255	85
75	256	80
76	259	77
77	265	74
78	267	71
79	269	67
80	273	64
81	278	61
82	281	57
83	284	54
84	287	50
85	288	46
