iter	RMSE
0	14.18706219
1	13.47332991
2	12.5962616
3	11.87639671
4	11.23771467
5	10.66708496
6	10.14581607
7	9.685382014
8	9.28223278
9	8.828825264
10	8.459063788
11	8.109222431
12	7.837209326
13	7.628329129
14	7.370852157
15	7.173140202
16	6.96601924
17	6.783854082
18	6.593395232
19	6.441690134
20	6.329158562
21	6.219535745
22	6.088682372
23	5.961889537
24	5.852291384
25	5.750488725
26	5.660946838
27	5.612290348
28	5.54529521
29	5.482339509
30	5.419799651
31	5.371043028
32	5.302639626
33	5.246976241
34	5.189587608
35	5.147626037
36	5.096907363
37	5.080065696
38	5.035480033
39	4.989486698
40	4.955962041
41	4.909626954
42	4.881317112
43	4.84067952
44	4.808004851
45	4.780992161
46	4.74410382
47	4.707067405
48	4.690485897
49	4.667193897
