iter	Passed	Remaining
0	0	77
1	1	70
2	2	66
3	2	66
4	3	70
5	4	72
6	5	69
7	5	67
8	6	66
9	7	64
10	7	63
11	8	62
12	9	60
13	9	61
14	10	62
15	11	61
16	12	60
17	13	59
18	13	58
19	14	57
20	14	56
21	15	54
22	16	53
23	16	52
24	17	52
25	18	52
26	19	51
27	20	51
28	20	50
29	21	50
30	22	49
31	23	49
32	24	48
33	24	47
34	25	46
35	25	45
36	26	45
37	27	44
38	27	43
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	30	37
45	31	37
46	32	36
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	37	33
53	38	33
54	39	32
55	39	31
56	40	30
57	41	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	45	23
66	46	23
67	47	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	14
79	57	14
80	57	13
81	58	12
82	58	12
83	59	11
84	59	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	69	0
99	70	0
